Latitude,Longitude,Safety Score
52.28536,-1.55769,44.19054468322228
52.28538,-1.55773,43.94245308016884
52.28538,-1.53146,30.315542150341702
52.2854,-1.56318,47.33718332998467
52.2854,-1.55777,44.19054468322228
52.2854,-1.5504,45.301222676053364
52.28541,-1.55786,44.19054468322228
52.28542,-1.5579,43.94245308016884
52.28544,-1.55795,44.19054468322228
52.28544,-1.53655,25.520066162706513
52.2854409,-1.5373244,42.24398092047169
52.28545,-1.53294,34.093475437134224
52.28549,-1.56326,47.33718332998467
52.2855,-1.55803,44.19054468322228
52.28551,-1.5365,19.61223117385282
52.28552,-1.56332,47.39094003622967
52.28554,-1.55808,46.23609036927885
52.28554,-1.5501,45.301222676053364
52.28554,-1.54724,43.602577191237664
52.28554,-1.53538,30.837725332037547
52.28556,-1.53567,30.554064159465124
52.28557,-1.53472,32.3663918227494
52.2856,-1.56199,46.81623294618339
52.2856,-1.53589,30.021133012902748
52.28565,-1.54992,45.89854053828365
52.28569,-1.53394,34.219817258511235
52.2857,-1.53616,29.85504005435242
52.2857262,-1.5330768,49.485377248933105
52.28573,-1.5473,43.602577191237664
52.28573,-1.53308,32.13327801229188
52.28574,-1.56431,46.96397883345234
52.28574,-1.53636,23.561106733928355
52.28578,-1.5316,30.321037012027023
52.28579,-1.54732,43.54721287172089
52.28579389999999,-1.5332444,49.66886957173682
52.2858,-1.53649,19.72732768094932
52.28581699999999,-1.5330837,49.66886957173682
52.28582,-1.55874,46.95359591020328
52.28582,-1.53308,34.30627415188949
52.28588,-1.53633,27.697198014745535
52.28589,-1.54948,45.553354026770826
52.2859,-1.55897,46.70550430714983
52.28592,-1.56422,46.24926700883854
52.28594,-1.54932,45.570357783975474
52.28594,-1.54749,43.43648423268733
52.28597,-1.53628,25.861622481533583
52.28602,-1.53626,29.640248435732058
52.28603,-1.55937,47.119688868753606
52.28603,-1.53736,20.930101673404806
52.28604,-1.53626,25.861622481533583
52.28606,-1.53626,29.755956750765232
52.2861,-1.53629,25.97733079656676
52.28612,-1.54787,42.62476975166493
52.28613,-1.54898,45.570357783975474
52.28613,-1.53312,32.26880453219031
52.28616,-1.54912,45.570357783975474
52.28616,-1.54906,45.570357783975474
52.28616,-1.53637,29.513709978032306
52.28617,-1.55979,46.87159726570017
52.2861809,-1.5318264,35.628937470031595
52.28619,-1.56407,46.575029651310096
52.28621,-1.54867,45.61252211738474
52.28621,-1.53646,26.024876226681613
52.28623,-1.53647,29.80350218088009
52.28624,-1.53316,33.757017385080154
52.286249,-1.570058,41.05949644861173
52.286249,-1.548171,38.15069005631603
52.286249,-1.540875,33.57531471492203
52.286249,-1.533494,37.05711357921993
52.286249,-1.526155,29.46852676665453
52.28628,-1.56007,47.175053188270375
52.28629,-1.54861,45.61252211738474
52.2863,-1.56011,46.92696158521695
52.2863,-1.53189,29.750079060005675
52.28632,-1.53186,29.750079060005675
52.28633,-1.56024,47.175053188270375
52.28634,-1.56102,43.651685705138995
52.28636,-1.56032,44.993165789177176
52.28638,-1.5366,29.814823777184657
52.28638,-1.53128,29.64522456004313
52.28639,-1.56041,45.241257392230615
52.28644,-1.56319,44.77347443040927
52.28646,-1.56076,43.586939402574984
52.28646,-1.56055,43.586939402574984
52.28648,-1.56386,44.77347443040927
52.2865,-1.53728,19.499850697045854
52.2865,-1.5367,25.804066173299077
52.28652,-1.54854,45.61252211738474
52.28653,-1.56066,43.83503100562842
52.28653,-1.53332,32.01725188926891
52.28655,-1.56064,43.7918711206317
52.28656,-1.56379,44.71602471561047
52.28657,-1.52949,30.337762373634906
52.28658,-1.56075,43.7918711206317
52.28658,-1.56061,43.7918711206317
52.28659,-1.53338,33.27985812361191
52.2866,-1.54848,45.61252211738474
52.28661,-1.54955,43.06607667308126
