Latitude,Longitude,Safety Score
52.290777,-1.570058,39.40711405
52.290777,-1.562762,36.93040369
52.290777,-1.555381,47.17599321
52.290777,-1.548171,37.03627249
52.290777,-1.540875,36.45421669
52.290777,-1.533494,33.03799349
52.290777,-1.526155,44.60616391
52.290777,-1.518688,35.42806761
52.290777,-1.511564,40.86824193
52.290777,-1.50414,65
52.290777,-1.497617,65
52.286249,-1.570058,24.59478046
52.286249,-1.562762,25.20263952
52.286249,-1.555381,47.69123611
52.286249,-1.548171,31.07835257
52.286249,-1.540875,35.89523893
52.286249,-1.533494,44.34332771
52.286249,-1.526155,45.29514761
52.286249,-1.518688,46.75048492
52.286249,-1.511564,53.47623246
52.286249,-1.50414,65
52.286249,-1.497617,65
52.281418,-1.570058,14.95767942
52.281418,-1.562762,38.92405116
52.281418,-1.555381,47.7100335
52.281418,-1.548171,30.1306609
52.281418,-1.540875,37.33554617
52.281418,-1.533494,46.6900664
52.281418,-1.526155,46.60988795
52.281418,-1.518688,47.74651317
52.281418,-1.511564,46.85550814
52.281418,-1.50414,36.60675596
52.281418,-1.497617,30.96755422
52.277348,-1.570058,34.27243872
52.277348,-1.562762,39.60673603
52.277348,-1.555381,33.44768533
52.277348,-1.548171,31.53546412
52.277348,-1.540875,46.90389702
52.277348,-1.533494,47.68647184
52.277348,-1.526155,48.9594511
52.277348,-1.518688,49.20649248
52.277348,-1.511564,45.81577953
52.277348,-1.50414,38.88538177
52.277348,-1.497617,51.7918977
52.272517,-1.570058,34.27243872
52.272517,-1.562762,32.26246445
52.272517,-1.555381,54.3162618
52.272517,-1.548171,41.62464946
52.272517,-1.540875,18.68698803
52.272517,-1.533494,48.14272058
52.272517,-1.526155,55.45279713
52.272517,-1.518688,56.30998722
52.272517,-1.511564,59.31739314
52.272517,-1.50414,41.54675836
52.272517,-1.497617,55.48619477
52.268551,-1.570058,65
52.268551,-1.562762,42.70883857
52.268551,-1.555381,55.25831083
52.268551,-1.548171,35.01307763
52.268551,-1.540875,39.39096347
52.268551,-1.533494,50.30858755
52.268551,-1.526155,51.83798631
52.268551,-1.518688,56.97368189
52.268551,-1.511564,64.95767942
