Location,Place Name,Place Type,Latitude,Longitude
"52.290777,-1.540875",Bistrot Pierre - Leamington Spa,"restaurant, food, point_of_interest, establishment",52.2908969,-1.5337387
"52.290777,-1.540875",Chozen Noodle,"restaurant, food, point_of_interest, establishment",52.2885017,-1.535409
"52.290777,-1.540875",Turtle Bay Leamington Spa,"bar, restaurant, food, point_of_interest, establishment",52.2898422,-1.5344003
"52.290777,-1.540875",Altoria Nightclub,"night_club, bar, point_of_interest, establishment",52.2920433,-1.5370982
"52.290777,-1.540875",Smack,"night_club, point_of_interest, establishment",52.2930287,-1.5368854
"52.290777,-1.540875",Clink Cellar Bar,"bar, night_club, restaurant, food, point_of_interest, establishment",52.2917372,-1.5379442
"52.290777,-1.540875",NIck Carpet & Vinyl Fitter,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2900964,-1.5383277
"52.290777,-1.540875",Flying Tiger Copenhagen,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2921811,-1.5360176
"52.290777,-1.540875",coodart,"furniture_store, electronics_store, home_goods_store, store, point_of_interest, establishment",52.2884147,-1.5363578
"52.290777,-1.540875",Tom Howley,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment",52.2930192,-1.5362407
"52.290777,-1.540875",Sharps Fitted Furniture Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2933321,-1.5362661
"52.290777,-1.540875","Hammonds Fitted Wardrobes, Sliding Wardrobes and Home Office Furniture","furniture_store, home_goods_store, store, point_of_interest, establishment",52.2934693,-1.5363238
"52.290777,-1.540875",Ember Home,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2882019,-1.5351008
"52.290777,-1.540875",Lee Longlands,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.291183,-1.5369509
"52.290777,-1.540875",Peter Staunton Interior Design,"furniture_store, home_goods_store, general_contractor, store, point_of_interest, establishment",52.2905026,-1.5367046
"52.290777,-1.540875",Stone The Crows,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2902278,-1.5363606
"52.290777,-1.540875",Royale Regents Modern Living,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2917639,-1.5377192
"52.290777,-1.540875",Locke & England,"furniture_store, home_goods_store, finance, store, point_of_interest, establishment",52.2930804,-1.5351997
"52.290777,-1.540875",Oliver Bonas,"clothing_store, jewelry_store, furniture_store, home_goods_store, store, point_of_interest, establishment",52.291964,-1.53576
"52.290777,-1.540875",The Cotswold Company Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2917554,-1.5355717
"52.290777,-1.540875",BedsForBuilders,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2931107,-1.5362623
"52.290777,-1.540875",Søstrene Grene,"clothing_store, furniture_store, home_goods_store, store, point_of_interest, establishment",52.2913554,-1.5347492
"52.290777,-1.540875",Vitsœ,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2903877,-1.534385
"52.290777,-1.540875",Sofas & Stuff - Leamington Spa,"furniture_store, home_goods_store, store, point_of_interest, establishment",52.2923251,-1.5343718
"52.290777,-1.540875",The Dell,"park, tourist_attraction, point_of_interest, establishment",52.292454,-1.5424432
"52.290777,-1.540875","Victoria Park, Leamington Spa","park, tourist_attraction, point_of_interest, establishment",52.287191,-1.5437254
"52.290777,-1.540875",Christchurch Gardens,"park, point_of_interest, establishment",52.2941661,-1.5361249
"52.290777,-1.533494",The Angel Hotel,"lodging, bar, restaurant, food, point_of_interest, establishment",52.2906597,-1.5323019
"52.290777,-1.533494",Premier Inn Leamington Spa Town Centre hotel,"lodging, restaurant, food, point_of_interest, establishment",52.2885283,-1.5356201
"52.290777,-1.533494",The Fox and Vivian,"bar, restaurant, food, point_of_interest, establishment",52.293616,-1.5337025
"52.290777,-1.533494",La Coppola Ristorante & Oyster Bar,"restaurant, food, point_of_interest, establishment",52.2931137,-1.5361781
"52.290777,-1.533494",Zizzi - Leamington Spa,"restaurant, food, point_of_interest, store, establishment",52.2900657,-1.5351925
"52.290777,-1.533494",Oscars French Steakhouse and Bistro,"restaurant, food, point_of_interest, establishment",52.292328,-1.533636
